schoolid,schoolname,calendaryear,ftrestuition,ptrestuition,ftnonrestuition,ptnonrestuition,tuitionguarind,oncampuscosts,offcampuscosts,athomecosts,schooltype
00146601,Barry University,2011,33630,25380,33630,25380,N,,24150,24150,PRI
00146601,Barry University,2012,34300,25900,34300,25900,N,,24550,24550,PRI
00146601,Barry University,2013,34300,25900,34300,25900,N,,26050,26050,PRI
00146601,Barry University,2014,35844,27070,35844,27070,N,,26050,26050,PRI
00146601,Barry University,2015,35844,27070,35844,27070,N,,26050,26050,PRI
00146601,Barry University,2016,35844,27070,35844,27070,N,,26000,26000,PRI
00146601,Barry University,2017,35845,27070,35845,27070,N,,26000,26000,PRI
00146800,St. Thomas University (Florida),2011,34618,,34618,,N,24210,22904,11539,PRI
00146800,St. Thomas University (Florida),2012,36226,,36226,,N,24762,23461,12096,PRI
00146800,St. Thomas University (Florida),2013,37402,,37402,,N,25648,23528,12164,PRI
00146800,St. Thomas University (Florida),2014,38458,,38458,,N,26624,24438,12732,PRI
00146800,St. Thomas University (Florida),2015,39178,,39178,,N,27436,24850,13144,PRI
00146800,St. Thomas University (Florida),2016,40282,,40282,,N,28818,29262,15060,PRI
00146800,St. Thomas University (Florida),2017,40282,,40282,,N,29046,29490,15290,PRI
00148001,Florida A&M University,2011,12424,8892,32327,23016,N,,26086,14648,PUB
00148001,Florida A&M University,2012,13675,10028,32936,24153,N,,27040,15660,PUB
00148001,Florida A&M University,2013,14131,10028,34034,24153,N,27040,27040,16274,PUB
00148001,Florida A&M University,2014,14131,10028,34034,24153,N,,27040,16012,PUB
00148001,Florida A&M University,2015,14132,10029,34035,24154,N,,27278,16294,PUB
00148001,Florida A&M University,2016,14132,10029,34035,24154,N,,27278,16110,PUB
00148001,Florida A&M University,2017,14132,10029,34035,24154,N,,27270,16102,PUB
00148900,Florida State University,2011,18343,,37905,,N,17700,17700,17700,PUB
00148900,Florida State University,2012,19731,,39744,,N,17700,17700,17700,PUB
00148900,Florida State University,2013,20632,,40644,,N,17700,17700,17700,PUB
00148900,Florida State University,2014,20683,,40695,,N,18700,18700,18700,PUB
00148900,Florida State University,2015,20683,,40695,,N,18200,18200,18200,PUB
00148900,Florida State University,2016,20683,,40695,,N,18390,18390,18390,PUB
00148900,Florida State University,2017,20683,,40695,,N,17212,17212,7212,PUB
00150900,Nova Southeastern University,2011,33250,25060,33250,25060,N,18564,24618,10929,PRI
00150900,Nova Southeastern University,2012,34330,25895,34330,25895,N,21758,25756,12184,PRI
00150900,Nova Southeastern University,2013,35586,26896,35586,26896,N,20638,25338,11370,PRI
00150900,Nova Southeastern University,2014,36906,27912,36906,27912,N,20948,25032,11640,PRI
00150900,Nova Southeastern University,2015,37985,28721,37985,28721,N,24861,21368,12875,PRI
00150900,Nova Southeastern University,2016,38910,29415,38910,29415,N,22330,26484,12975,PRI
00150900,Nova Southeastern University,2017,39830,30050,39830,30050,N,21917,28303,12562,PRI
00153101,Stetson University,2011,35466,24582,35466,24582,N,21860,21860,21860,PRI
00153101,Stetson University,2012,36168,25068,36168,25068,N,17652,17652,17652,PRI
00153101,Stetson University,2013,37782,26182,37782,26182,N,15736,15736,15736,PRI
00153101,Stetson University,2014,38904,26960,38904,26960,N,15588,15588,15588,PRI
00153101,Stetson University,2015,40256,27892,40256,27892,N,15580,15580,15580,PRI
00153101,Stetson University,2016,41454,28720,41454,28720,N,15748,15748,15748,PRI
00153101,Stetson University,2017,42646,29544,42646,29544,N,16872,16872,9932,PRI
00153505,University of Florida,2011,18710,,38075,,N,14710,15750,6990,PUB
00153505,University of Florida,2012,21421,,40786,,N,15190,15740,6250,PUB
00153505,University of Florida,2013,21181,,41546,,N,14810,15410,5620,PUB
00153505,University of Florida,2014,22231,,38836,,N,15740,16170,6280,PUB
00153505,University of Florida,2015,22299,,38904,,N,16640,17180,6240,PUB
00153505,University of Florida,2016,22299,,38904,,N,16640,17180,6240,PUB
00153505,University of Florida,2017,22299,,38904,,N,17200,18340,6440,PUB
00153601,University of Miami,2011,39848,,39848,,N,,22034,10910,PRI
00153601,University of Miami,2012,42938,,42938,,N,22416,22416,11292,PRI
00153601,University of Miami,2013,44626,,44626,,N,23048,23048,11510,PRI
00153601,University of Miami,2014,46166,,46166,,N,,26350,15106,PRI
00153601,University of Miami,2015,47774,,47774,,N,,27041,11178,PRI
