schoolid,schoolname,calendaryear,academicyear,condscholind,numenteringcondschol,numeliminatedcondschol,numstudents,ftnumstudents,ptnumstudents,totalrecvgrant,totalrecvgrantp,ftrecvgrant,ptrecvgrant,totalgrantlthalf,totalgrantlthalfp,ftgrantlthalf,ptgrantlthalf,totalgrantalhalf,totalgrantalhalfp,ftgrantalhalf,ptgrantalhalf,totalgrantfull,totalgrantfullp,ftgrantfull,ptgrantfull,totalgrantgtfull,totalgrantgtfullp,ftgrantgtfull,ptgrantgtfull,ftgrantamt75,ptgrantamt75,ftgrantamtmedian,ptgrantamtmedian,ftgrantamt25,ptgrantamt25
00132600,Santa Clara University,2014,2013,Y,145,54,789,624,165,433,54.9,329,104,341,43.2,271,70,61,7.7,44,17,30,3.8,14,16,1,0.1,0,1,20000,25000,13000,12000,9000,4000
00132600,Santa Clara University,2015,2014,Y,90,28,643,478,165,414,64.4,301,113,329,51.2,247,82,56,8.7,38,18,27,4.2,14,13,2,0.3,2,0,20000,19000,12000,9500,9000,3000
00132600,Santa Clara University,2016,2015,Y,183,63,653,506,147,470,72,364,106,305,46.7,233,72,146,22.4,120,26,17,2.6,9,8,2,0.3,2,0,25000,20000,20000,10000,10000,5000
00132600,Santa Clara University,2017,2016,Y,134,48,658,537,121,395,60,324,71,303,46,260,43,76,11.6,55,21,16,2.4,9,7,0,0,0,0,25000,25000,20000,11500,10000,7500
00132800,University of Southern California,2011,2010,,,,651,651,0,368,56.5,368,,316,48.5,316,,42,6.5,42,,6,0.9,6,,4,0.6,4,,,,15000,,,
00132800,University of Southern California,2012,2011,N,,,648,648,0,357,55.1,357,,284,43.8,284,,63,9.7,63,,4,0.6,4,,6,0.9,6,,20000,,18000,,10000,
00132800,University of Southern California,2013,2012,N,,,637,637,0,403,63.3,403,,333,52.3,333,,62,9.7,62,,5,0.8,5,,3,0.5,3,,25000,,20000,,15000,
00132800,University of Southern California,2014,2013,N,,,602,602,0,464,77.1,464,,340,56.5,340,,118,19.6,118,,2,0.3,2,,4,0.7,4,,27500,,20000,,15000,
00132800,University of Southern California,2015,2014,N,,,606,604,2,533,88,533,0,310,51.2,310,0,210,34.7,210,0,7,1.2,7,0,6,1,6,0,32000,0,25000,0,20000,0
00132800,University of Southern California,2016,2015,N,,,601,598,3,545,90.7,545,0,266,44.3,266,0,260,43.3,260,0,13,2.2,13,0,6,1,6,0,35000,0,30000,0,20000,0
00132800,University of Southern California,2017,2016,N,,,649,649,0,603,92.9,603,,267,41.1,267,0,316,48.7,316,,15,2.3,15,,5,0.8,5,,37000,,30000,,20500,
